RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Forum voor Democratie;VVD;CDA;GROENLINKS;Partij van de Arbeid (P.v.d.A.);Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);ChristenUnie/SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!
Beemster;G0370;10816;Noord-Holland;P27;7623;4894;6;16;4872;857;1012;591;461;462;387;304;165;73;249;;;4;109;;69;;;;;126;;3;;;;;;;;;;;;;;
Beesel;G0889;10195;Limburg;P31;10674;5786;16;34;5736;827;554;1226;345;344;271;998;391;43;132;264;;70;;;;;;;271;;;;;;;;;;;;;;;;;
Berg en Dal;G1945;10616;Gelderland;P25;28106;16293;53;47;16193;2359;2226;1899;2096;1453;1211;1396;1393;254;862;818;45;37;;;;;;;;;;;144;;;;;;;;;;;;;
Bergeijk;G1724;11160;Noord-Brabant;P30;14568;7970;26;20;7924;1123;1189;1841;449;409;424;595;616;;282;314;;6;;439;53;;46;;;;;;;;;100;;38;;;;;;;;
Bergen(LI);G0893;11281;Limburg;P31;10563;5640;25;34;5581;917;478;1269;316;510;192;890;545;52;159;187;;8;;;;;;;58;;;;;;;;;;;;;;;;;
Bergen(NH);G0373;11424;Noord-Holland;P27;24370;15831;23;46;15762;2665;2880;1321;2171;1386;1323;858;594;341;1178;;;13;377;;356;;;;;279;;20;;;;;;;;;;;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;51337;25110;68;94;24948;4133;3961;2459;2095;1611;1937;2270;1998;;933;1320;;888;;669;67;;306;;;;;;;;;154;;147;;;;;;;;
Berkelland;G1859;10436;Gelderland;P25;35250;21525;40;69;21416;2917;4281;3760;1866;2064;1212;1124;1696;452;643;993;86;49;;;;;;;;;;;256;;;;;;;;;;17;;;
Bernheze;G1721;10149;Noord-Brabant;P30;23788;12753;34;39;12680;1651;2154;2647;762;593;1108;797;1633;;269;410;;17;;391;23;;85;;;;;;;;;88;;52;;;;;;;;
Best;G0753;10442;Noord-Brabant;P30;22611;12468;32;32;12404;1795;2207;1447;856;694;1407;841;983;;391;722;;132;;255;35;;389;;;;;;;;;132;;118;;;;;;;;
Beuningen;G0209;10417;Gelderland;P25;21004;11258;38;32;11188;2099;1914;1200;1024;963;900;809;871;181;404;630;20;51;;;;;;;;;;;122;;;;;;;;;;;;;
